medicaments;QuantiteStock;PrixCession;PrixPublic;DateSortie;Listes;Classes;Formes;;;;;;;
Inofer cp B/25;1;3?052 CFA;4?291 CFA;11/01/2023;SANS TABLEAU;Antianemique ;Comprimes Gelules;;;;;;;
Claritron 500mg;1;29 CFA;80 CFA;18/07/2023;LISTE I;;Comprimes Gelules;;;;;;;
Biolane lait toilette fl/750ml;1;0 CFA;0 CFA;21/08/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Topicrm fl/1litre;1;8?514 CFA;15?451 CFA;21/06/2023;SANS TABLEAU;;Lait;;;;;;;
Dismigras 10mg cp b/30;1;2?361 CFA;3?349 CFA;15/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Special kid fer sp /125ml;1;2?724 CFA;3?405 CFA;13/07/2023;SANS TABLEAU;;Sirops;;;;;;;
Depi white creme intensive anti tache;1;9?835 CFA;17?848 CFA;09/08/2023;SANS TABLEAU;;Baume Lait;;;;;;;
R-lune 20/120mg cp b/6;1;1?661 CFA;2?375 CFA;09/11/2022;LISTE I;;Comprimes Gelules;;;;;;;
Regulix 40 cp;1;623 CFA;905 CFA;24/08/2023;LISTE II;;Comprimes Gelules;;;;;;;
Topicrem ultra hydratant lait corps fl/500ml;1;6?804 CFA;12?348 CFA;08/08/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Topicrem mela lait eclairc ult hydr 500ml;1;14?036 CFA;25?513 CFA;11/07/2023;;;Baume Lait;;;;;;;
Furo denk 40mg cpr 10bl10;1;0 CFA;40 CFA;09/05/2023;II;;Comprimes Gelules;;;;;;;
Sulbacef 1.5g pdre sol inj/10ml+solv;1;0 CFA;40 CFA;11/09/2023;LISTE I;;Injectables;;;;;;;
Cetraxal  gtte aur ;1;3?500 CFA;4?961 CFA;19/09/2023;LISTE I;;Gouttes auriculaires;;;;;;;
Parodium gel gingival fl/50ml AFR;1;0 CFA;0 CFA;22/08/2023;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Ictyane ducray lait T/500ml;1;6?986 CFA;12?678 CFA;19/11/2022;SANS TABLEAU;;Baume Lait;;;;;;;
Keracnyl lotion purifiante peaux grasses a imperfections;1;5?867 CFA;10?647 CFA;21/01/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Ceruclear spray auriculaire fl/40 ml;1;0 CFA;0 CFA;19/09/2022;SANS TABLEAU;;Gouttes auriculaires;;;;;;;
Rosumac 10mg cp bte/30;1;3?188 CFA;4?522 CFA;11/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Candid poudre;1;1?290 CFA;1?853 CFA;22/08/2023;ST;;Poudres externes;;;;;;;
Kem susp buv 200ml;1;9?440 CFA;13?312 CFA;20/05/2022;ST;;Sirops;;;;;;;
Physiolac 3;1;3?980 CFA;4?975 CFA;18/10/2022;SANS TABLEAU;;Farines et lait;;;;;;;
Optimol collyre fl/5ml;1;1?000 CFA;1?446 CFA;19/09/2023;LISTE I;;Collyres;;;;;;;
Masculan gel lubrif warming fl/75ml;1;3?035 CFA;5?508 CFA;04/05/2023;SANS TABLEAU;;Gel uretral;;;;;;;
Amlozaar 5mg/50mg cp b/30;1;10?500 CFA;14?763 CFA;14/08/2023;SANS TABLEAU;Antitussif;Suppositoires;;;;;;;
Genkid gomme a macher b/60;1;0 CFA;0 CFA;28/08/2023;SANS TABLEAU;;Divers ;;;;;;;
Telmikaa 40mg cpr b/30;1;5?433 CFA;7?678 CFA;05/09/2023;I;;Comprimes Gelules;;;;;;;
Depi white gel contour;1;5?733 CFA;10?404 CFA;;SANS TABLEAU;;Gel cutane;;;;;;;
Masculan gel lubrif apple fl/75ml;1;2?971 CFA;5?431 CFA;04/05/2023;LISTE I;;Gel uretral;;;;;;;
Tussipax sp FL/125ml;1;1?838 CFA;2?584 CFA;25/11/2022;SANS TABLEAU;Antitussif toux seche;Sirops;;;;;;;
Metformin denk 850mg  cpr b/30;1;1?184 CFA;1?694 CFA;06/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Tavanic 500;1;0 CFA;40 CFA;24/09/2020;I;;565;;;;;;;
Spamo apotel suppo;1;1?324 CFA;1?901 CFA;01/09/2023;LISTE I;Antitussif Expectorant;Suppositoires;;;;;;;
Iz 200 sp fl/15ml;1;2?405 CFA;3?421 CFA;22/10/2022;LISTE I;;Sirops;;;;;;;
Difal 50mg cp B/30;1;1?767 CFA;2?514 CFA;11/11/2022;LISTE II;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Tyflox 500mg cp B/10;1;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Upradone cp;1;7?827 CFA;11?034 CFA;10/05/2023;LISTE II;;Comprimes Gelules;;;;;;;
Ketonal suppo;1;1?225 CFA;1?752 CFA;26/02/2023;LISTE II;;Suppositoires;;;;;;;
D-Artepp 20mg/160mg cp disp b/6;1;852 CFA;1?237 CFA;15/07/2022;LISTE I;;Comprimes Gelules;;;;;;;
Povidone iodee valda 10% dermique fl/125ml;1;0 CFA;0 CFA;04/09/2023;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Cevit vit C 100mg cp B/10  sans sucre;1;1?002 CFA;1?408 CFA;14/09/2023;SANS TABLEAU;Fortifiant;Comprimes Gelules;;;;;;;
Upracid 20 cp;1;1?723 CFA;2?422 CFA;11/02/2022;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Toras denk cp;1;2?761 CFA;3?911 CFA;09/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Pulmofirst 125mg cp pell b/10;1;11?061 CFA;15?591 CFA;;LISTE I;;Comprimes Gelules;;;;;;;
Morcet 10mg cp b/14;1;0 CFA;40 CFA;06/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Upracid 40 cp;1;3?029 CFA;4?288 CFA;29/03/2022;LISTE II;;Comprimes Gelules;;;;;;;
Diflucan 150mg cp B/1;1;5?575 CFA;7?878 CFA;17/09/2023;Liste I;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Ulcar 1g sachet B/30;1;5?000 CFA;7?030 CFA;13/08/2022;SANS TABLEAU;Antiulcereux (Sucralfate);Sachets Granules poudres orales;;;;;;;
Biotic plus 500mg ;1;3?445 CFA;4?883 CFA;01/08/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Glycerine officinal 500ml;1;3?000 CFA;4?614 CFA;24/01/2023;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Oligobs procrea M pdre sach 30 caps /30;1;23?536 CFA;29?460 CFA;13/01/2022;;;Comprimes Gelules;;;;;;;
Omeprazole vir 20mg gel b/14;1;2?194 CFA;3?124 CFA;19/03/2023;II;;Comprimes Gelules;;;;;;;
Exforge fct 10mg/160mg b/28;1;0 CFA;40 CFA;06/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Vegebom savon surgras;1;4?649 CFA;8?477 CFA;16/09/2023;;;Pains;;;;;;;
Biotic plus 1g bte 24;1;6?196 CFA;8?751 CFA;17/09/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Rabetar 20mg gel  b/10;1;730 CFA;1?056 CFA;19/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Exforge htc fct 5/160/12.5mg b/28;1;0 CFA;40 CFA;06/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Difrarel 100 cp B/20;1;2?115 CFA;2?973 CFA;12/10/2022;SANS TABLEAU;Vasculoprotecteur;Comprimes Gelules;;;;;;;
Serviflox 750mg cp B/10;1;2?859 CFA;4?059 CFA;05/04/2023;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Saphir 1g ad b/12;1;3?332 CFA;4?724 CFA;16/09/2023;LISTE I;;Sirops;;;;;;;
Mustela bb surgr cold cream sav pain /150g;1;890 CFA;1?655 CFA;04/02/2023;ST;;Divers ;;;;;;;
Combifrinil sp 15ml;1;2?980 CFA;4?229 CFA;06/06/2023;;;Sirops;;;;;;;
Lumirelax 500mg cpr b/20;1;2?300 CFA;3?273 CFA;27/04/2023;;;Comprimes Gelules;;;;;;;
Exforge htc fct 5/160/25mg b/28;1;0 CFA;40 CFA;06/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Difrarel E cp B/24;1;1?405 CFA;1?975 CFA;12/09/2023;SANS TABLEAU;Supplement en Vit E vision nocturne et crepusculai;Comprimes Gelules;;;;;;;
Flucess 50mg cp B/7;1;1?201 CFA;1?728 CFA;19/04/2023;Liste I;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Zamox 500mg sach b/12;1;2?273 CFA;3?235 CFA;13/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Dolora 200ID 200MG LM cp b/20;1;6?311 CFA;8?913 CFA;15/10/2019;;;;;;;;;;
Attache sucette luc et lea;1;2?758 CFA;5?045 CFA;30/04/2022;;;;;;;;;;
Rabetar 10mg gel  b/10;1;673 CFA;976 CFA;22/10/2022;LISTE II;;Comprimes Gelules;;;;;;;
Andol 500mg cp b/20;1;453 CFA;636 CFA;03/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Progest 100mg b/30;1;0 CFA;40 CFA;06/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Juvamyne Fizz vit C +Calcium cp eff B/30 sans sucre;1;1?942 CFA;2?730 CFA;14/09/2023;SANS TABLEAU;Antiasthenique;Comprimes Gelules;;;;;;;
Aprozar 150mg cp b/30;1;6?280 CFA;8?869 CFA;05/10/2022;LISTE I;;Comprimes Gelules;;;;;;;
Welvit plus cpr b/30;1;3?562 CFA;5?008 CFA;09/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Cosyrel 5/5 cp;1;9?404 CFA;13?262 CFA;10/05/2023;;;;;;;;;;
G bellini fragrance fl/75ml;1;5?830 CFA;8?966 CFA;25/04/2023;SANS TABLEAU;;Dives;;;;;;;
Defnil P 50/500mg cp subling b/30;1;3?693 CFA;5?192 CFA;24/07/2022;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Mucosol Enf  sp Fl/200ml;1;1?000 CFA;1?406 CFA;26/01/2023;SANS TABLEAU;Antitussif Expectorant;Sirops;;;;;;;
Digest Express;1;5?119 CFA;7?237 CFA;06/06/2022;ST;;Ampoules buvables;;;;;;;
Special kid immunite sp f/125ml ;1;0 CFA;0 CFA;11/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Chophytol cp B/60;1;925 CFA;1?300 CFA;27/05/2023;SANS TABLEAU;Carence magnesique;Comprimes Gelules;;;;;;;
Somagina sht;1;12?230 CFA;17?235 CFA;15/07/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Jersey hydrofuge 10x10cm bt 1;1;9?105 CFA;16?564 CFA;06/03/2023;ST;;Divers ;;;;;;;
Atoderm creme ultra nourrissante f/500ml;1;7?304 CFA;13?255 CFA;11/09/2023;SANS TABLEAU;;Pommades cremes;;;;;;;
Apexime sirop;1;2?648 CFA;3?763 CFA;15/09/2023;LISTE I;;Sirops;;;;;;;
Mixa ad lait corps nutrition fl/400;1;1?359 CFA;2?466 CFA;11/09/2023;SANS TABLEAU;;Lait;;;;;;;
Kamagra gel oral unidose;1;0 CFA;40 CFA;;Liste I;Aphrodisiaque;Gel oral;;;;;;;
Cexolan collyre;1;9?075 CFA;12?789 CFA;17/06/2023;LISTE II;;Collyres;;;;;;;
Buto asma areosol ;1;2?018 CFA;2?877 CFA;03/07/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Exforge htc fct 5mg cp bte/28;1;14?000 CFA;19?724 CFA;29/11/2022;LISTE I;;Comprimes Gelules;;;;;;;
Vegebom savon tonifiant;1;2?380 CFA;4?359 CFA;06/10/2022;;;Pains;;;;;;;
Amlodimed 10mg cp b/30;1;2?667 CFA;3?789 CFA;04/05/2023;I;;Comprimes Gelules;;;;;;;
Ofiken 100mg /5ml pdre susp buv F/60ml;1;2?748 CFA;3?903 CFA;15/09/2023;I;;Sachets Granules poudres orales;;;;;;;
Cortis 250mg susp inh dose f/200;1;2?689 CFA;3?820 CFA;07/01/2023;I;;Spray aerosol;;;;;;;
Cifran OD 1g cp B/10;1;5?581 CFA;7?886 CFA;06/09/2023;LISTE I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Artrim cp 20/120mg cpr b/16;1;715 CFA;1?045 CFA;15/09/2023;I;;Comprimes Gelules;;;;;;;
Rabetar 20mg gel  b/10;1;253 CFA;395 CFA;20/12/2022;II;;Comprimes Gelules;;;;;;;
Surecure gel;1;2?628 CFA;3?694 CFA;11/09/2023;SANS TABLEAU;;Gel cutane;;;;;;;
Topicrem mela pain exfoliant unifiant/150g;1;0 CFA;0 CFA;11/09/2023;SANS TABLEAU;;Pains;;;;;;;
Algesal baume T/40g;1;1?586 CFA;2?229 CFA;01/08/2023;SANS TABLEAU;Antiinflammatoire non steroidien Antalgique;Pommades cremes;;;;;;;
Valmac 80 mg b/30;1;4?899 CFA;6?927 CFA;19/09/2023;I;;Comprimes Gelules;;;;;;;
Pediakid nervosite sp Fl/125ml;1;0 CFA;0 CFA;29/09/2021;SANS TABLEAU;Insomnie;Sirops;;;;;;;
Hemafer sirop;1;2?116 CFA;2?975 CFA;19/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Pediakid fer vit b enf banane sp 125ml;1;5?760 CFA;8?496 CFA;02/11/2022;SANS TABLEAU;;Sirops;;;;;;;
Vitafer caps 150mg/0.5mg b/30;1;1?906 CFA;2?719 CFA;21/08/2023;ST;;Comprimes Gelules;;;;;;;
Omnifix Elastic bde adh extens 10x10cm/1;1;3?509 CFA;5?436 CFA;06/03/2023;II;;Divers ;;;;;;;
Fluoxine 500mg cp B/10;1;1?500 CFA;2?149 CFA;28/09/2022;LISTE I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Calchek 10mg b/30;1;5?653 CFA;7?988 CFA;16/09/2022;LISTE I;;Comprimes Gelules;;;;;;;
Adna grossesse fer acide folic vit D3 eff b/10 ;1;3?179 CFA;4?729 CFA;14/08/2023;ST;;Comprimes Gelules;;;;;;;
Cronolex coll f/5ml;1;1?621 CFA;2?533 CFA;12/09/2023;ST;;Collyres;;;;;;;
Fluskin gel T/30ml;1;783 CFA;1?140 CFA;19/03/2023;Liste I;Dermocorticoide antipsoriasique;Gel cutane;;;;;;;
Beta-salic30g pde;1;1?194 CFA;1?718 CFA;06/05/2023;LISTE I;Antimycosique Antifongique;Pommades cremes;;;;;;;
Serenatal cp b/60;1;6?339 CFA;9?350 CFA;12/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Cardiper plus 4mg/1.25 cp b/30;1;3?410 CFA;4?834 CFA;13/04/2023;;;Comprimes Gelules;;;;;;;
Broncovir spsp buv f/150ml;1;2?621 CFA;3?725 CFA;15/09/2023;ST;;Solutions buvables ou rectales;;;;;;;
Couche pine 4-9 kg;1;2?455 CFA;4?455 CFA;13/04/2023;SANS TABLEAU;;Divers ;;;;;;;
Genskin eclat creme nourissante t/250g;1;4?140 CFA;7?553 CFA;02/09/2023;;;;;;;;;;
Lubrinex coll f/10ml;1;1?621 CFA;2?533 CFA;17/09/2023;ST;;Collyres;;;;;;;
Ketoderm gel moussant B/8 doses;1;7?612 CFA;10?742 CFA;24/11/2022;Liste I;Antimycosique Antifongique;Gel cutane;;;;;;;
Spasmo-apotel inj;1;496 CFA;737 CFA;22/09/2020;I;;Injectables;;;;;;;
Spasmomen 40mg cpr b/15;1;2?444 CFA;3?798 CFA;13/09/2022;ST;;Comprimes Gelules;;;;;;;
Elgydium dentif revelateur plaq t/75ml;1;0 CFA;0 CFA;06/02/2023;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Betadine pde T/30g;1;624 CFA;877 CFA;19/07/2022;SANS TABLEAU;Antiseptique externe;Pommades cremes;;;;;;;
Sekrol sirop;1;1?709 CFA;2?432 CFA;21/08/2023;LISTE II;;Sirops;;;;;;;
Betadine rouge scrub Fl/500ml;1;3?349 CFA;4?708 CFA;28/08/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions;;;;;;;
"Cipro 0;""3% cy Fl/5ml;1;1?749 CFA;2?499 CFA;11/04/2023;Liste I;Antiulcereux  (anti H2);Collyres"";;;;;;"
Trabar injectable;1;2?926 CFA;4?153 CFA;16/09/2023;LISTE I;Antitussif Expectorant;Injectables;;;;;;;
Amino pep forte sp f/200ml;1;3?047 CFA;4?284 CFA;01/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Uvimag B6 amp B/20;1;2?176 CFA;3?059 CFA;29/05/2023;SANS TABLEAU;Carence magnesique;Ampoules buvables;;;;;;;
Tussidane sirop;1;1?132 CFA;1?631 CFA;22/09/2022;ST;;Sirops;;;;;;;
Rinasan ad 0.1%;1;671 CFA;973 CFA;09/09/2023;LISTE II;;Gouttes nasales;;;;;;;
Genfer 100mg/2ml im amp inj b/5;1;7?113 CFA;10?000 CFA;26/01/2023;SANS TABLEAU;;Injectables;;;;;;;
Petit olivier cr argan jour/nuit antitache 50ml;1;3?749 CFA;6?259 CFA;16/05/2021;ST;;Pommades cremes;;;;;;;
Vagilen 500mg ovule B/10;1;1?520 CFA;2?177 CFA;06/08/2023;LISTE I;Antiinfectieux Antiparasitaire (Nitro imidazoles);Ovules comprimes gynecologiques;;;;;;;
Niflox 200mg/500mg cpr b/10;1;4?432 CFA;6?271 CFA;07/01/2023;I;;Comprimes Gelules;;;;;;;
Zoprazide cp b/30;1;6 CFA;8?476 CFA;15/08/2022;;;Comprimes Gelules;;;;;;;
Cipro denk 500mg cp B/10;1;15?991 CFA;22?523 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
"Mydriaticum 0;""5 cy 10ml;1;1?233 CFA;1?773 CFA;10/08/2023;LISTE I;Mydriatique;Collyres"";;;;;;"
Mumfer sp;1;0 CFA;0 CFA;14/02/2023;SANS TABLEAU;;Sirops;;;;;;;
Pepsane sachet B/30;1;2?457 CFA;3?454 CFA;06/09/2023;SANS TABLEAU;Antiacide;Sachets Granules poudres orales;;;;;;;
Dolowin 100mg cp bte/30;1;2?237 CFA;3?185 CFA;14/07/2023;LISTE I;;Comprimes Gelules;;;;;;;
Lamotrigine arrow 25 mg cp disp croq b/30;1;3?618 CFA;5?126 CFA;01/08/2023;I;;Comprimes Gelules;;;;;;;
Ticasse 200 sp;1;1?531 CFA;2?192 CFA;07/07/2023;LISTE I;;Sirops;;;;;;;
Tadaman cp 5mg bt/8;1;3?920 CFA;5?551 CFA;19/07/2023;LISTE I;;Comprimes Gelules;;;;;;;
Ompranyt 20mg b/14;1;2?578 CFA;3?664 CFA;08/02/2022;LISTE I;;;;;;;;;
Sergifex inj 1g b/1;1;2?655 CFA;3?772 CFA;05/08/2023;I;;Injectables;;;;;;;
Spiralide cp b/10;1;3?161 CFA;4?484 CFA;19/09/2023;LISTE I;Antiscabieux;Comprimes Gelules;;;;;;;
Ramipril GH 5mg b/30;1;2?871 CFA;4?076 CFA;17/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Decoderm tri;1;2?868 CFA;4?062 CFA;15/09/2023;LISTE II;;Gel cutane;;;;;;;
Savon M D anti sebum;1;2?028 CFA;3?119 CFA;11/09/2023;SANS TABLEAU;;Pains;;;;;;;
Termenor sp 100ml;1;2?295 CFA;3?266 CFA;06/09/2023;I;;Sirops;;;;;;;
Diapride 4mg;1;4?212 CFA;5?962 CFA;20/05/2023;LISTE I;;Comprimes Gelules;;;;;;;
Lotaridex 5mg cp b/5;1;-21 CFA;10 CFA;04/09/2023;II;;Comprimes Gelules;;;;;;;
Terpara sp;1;1?423 CFA;2?040 CFA;27/06/2023;ST;;Sirops;;;;;;;
Nalgesic cp B/12;1;1?209 CFA;1?729 CFA;11/09/2023;LISTE II;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Sorbhepatic cp effer B/20 ;1;0 CFA;0 CFA;06/01/2023;SANS TABLEAU;Cholagogue choleretique;Comprimes Gelules;;;;;;;
Hapenz siroop;1;1?760 CFA;2?474 CFA;19/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Tiagam 20mg ;1;165 CFA;271 CFA;12/07/2023;;;Comprimes Gelules;;;;;;;
Vascor 35;1;0 CFA;40 CFA;26/06/2022;;;;;;;;;;
Atoderm intensive gel mouss f/500ml;1;7?929 CFA;14?429 CFA;21/08/2022;ST;;Gel cutane;;;;;;;
"T-dol rapid 37;""5mg  b/10;1;1?391 CFA;1?995 CFA;19/09/2023;;;Comprimes Gelules"";;;;;;"
Uriage bariederm cica creme fl/40ml;1;3?597 CFA;6?527 CFA;23/05/2022;SANS TABLEAU;;Pommades cremes;;;;;;;
Dermia Salicila;1;1?316 CFA;1?890 CFA;05/09/2023;LISTE I;;Gel cutane;;;;;;;
Arbitel 40 mg ;1;3?950 CFA;5?593 CFA;18/03/2023;LISTE I;;Comprimes Gelules;;;;;;;
Dispamox 1g dispersible B/14 cp;1;2?635 CFA;3?744 CFA;28/08/2023;LISTE I;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Fortans sachet B/64g;1;6?741 CFA;9?477 CFA;30/08/2023;SANS TABLEAU;Lavement;Sachets Granules poudres orales;;;;;;;
Sebionex Trio anti imperf ceme t/40ml;1;5?859 CFA;10?673 CFA;28/12/2022;LISTE I;;Pommades cremes;;;;;;;
Atoderm baume ultra apaisant ;1;12?812 CFA;23?251 CFA;05/10/2022;SANS TABLEAU;;Pommades cremes;;;;;;;
Gensil huile articulaire fl/60ml;1;0 CFA;0 CFA;13/05/2023;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Metformine biog 850mg cp b/30;1;1?045 CFA;1?647 CFA;21/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Urgo optiskin;1;0 CFA;0 CFA;;SANS TABLEAU;;Divers ;;;;;;;
Clairissime serum ecl a l ubiquinone;1;1?532 CFA;2?780 CFA;;SANS TABLEAU;;Solutions externes lotions;;;;;;;
;1;1?017 CFA;1?885 CFA;21/08/2023;ST;;Dentifrices et brosses;;;;;;;
Gvia 50mg b/28;1;9?593 CFA;13?527 CFA;10/02/2023;I;;Comprimes Gelules;;;;;;;
Lamisil 1% T/15g;1;3?168 CFA;4?484 CFA;12/05/2023;LISTE II;Antimycosique Antifongique;Pommades cremes;;;;;;;
Teli 40;1;10 CFA;40 CFA;22/02/2023;;;;;;;;;;
Vitamin 22 oxynea;1;8?968 CFA;11?250 CFA;19/02/2022;ST;;Divers ;;;;;;;
Topicrem mon premier lait hydratant fl/200ml;1;4?593 CFA;8?335 CFA;25/01/2023;SANS TABLEAU;;Pommades cremes;;;;;;;
Pharmacinon 5UI IV/IM inj amp/1ML/3;1;1?734 CFA;2?478 CFA;06/02/2023;LISTE I;;Comprimes Gelules;;;;;;;
Carvedi-denk 6.25;1;3?075 CFA;4?363 CFA;21/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Torva 20cp b/30;1;6?762 CFA;9?547 CFA;17/06/2023;I;;Comprimes Gelules;;;;;;;
Avene cicalfate + cr reparatice t/40ml;1;0 CFA;40 CFA;05/04/2023;ST;;Pommades cremes;;;;;;;
Amatrix 850 cp b/30;1;-28 CFA;0 CFA;;LISTE I;;Comprimes Gelules;;;;;;;
Defal 6mg cp;1;2?506 CFA;3?563 CFA;14/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Mixa bebe lait f/400ml ;1;3?634 CFA;6?632 CFA;04/05/2023;ST;;Baume Lait;;;;;;;
Accu ckeik active bandelette/50;1;11?289 CFA;17?402 CFA;15/09/2023;;;Divers ;;;;;;;
Fluditec sachets;1;2?000 CFA;2?852 CFA;18/11/2022;LISTE I;;Sachets Granules poudres orales;;;;;;;
 laritem 80/480 cp;1;2?500 CFA;3?555 CFA;01/04/2017;LISTE I;;Comprimes Gelules;;;;;;;
Kazol 2% creme t/15g;1;906 CFA;1?303 CFA;28/07/2023;LISTE II;;Pommades cremes;;;;;;;
Tricoz lp 35mg b/60;1;3?161 CFA;4?484 CFA;11/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Ketesse 25mg cpr b/10;1;368 CFA;605 CFA;09/11/2022;II;;Comprimes Gelules;;;;;;;
Progest 200mg b/15;1;3?476 CFA;4?927 CFA;06/09/2023;;;Comprimes Gelules;;;;;;;
Fucidine cp B/10;1;7?094 CFA;10?014 CFA;27/07/2023;LISTE I;Antiinfectieux Antibacterien;Comprimes Gelules;;;;;;;
Pevaryl 1% poudre Fl/30g;1;3?712 CFA;5?219 CFA;29/03/2023;SANS TABLEAU;Antimycosique Antifongique;Poudres externes;;;;;;;
Cipronat 750mg cpr b/14;1;3?710 CFA;5?256 CFA;21/07/2023;LISTE I;;Comprimes Gelules;;;;;;;
Ocugard gel b/20;1;3?078 CFA;4?580 CFA;06/09/2023;ST;;Comprimes Gelules;;;;;;;
Ator 10 mg;1;3?057 CFA;4?338 CFA;27/05/2023;LISTE I;;Comprimes Gelules;;;;;;;
Ipproton 20mg gel b/28;1;3?907 CFA;5?533 CFA;16/07/2023;ST;;Comprimes Gelules;;;;;;;
Amarel 4mg cp B/30;1;8?562 CFA;12?078 CFA;11/08/2022;LISTE I;Antidiabetique;Comprimes Gelules;;;;;;;
Neocodion sp Ad F/180ml;1;1?330 CFA;1?869 CFA;12/08/2023;SANS TABLEAU;Antitussif;Sirops;;;;;;;
Aprovel 150 mg cp;1;12?044 CFA;16?973 CFA;30/08/2021;LISTE I;;Comprimes Gelules;;;;;;;
Vascor 20mg op;1;0 CFA;40 CFA;17/06/2023;;;Comprimes Gelules;;;;;;;
Clairissime  lait hydr corps alevo 500ml;1;7?501 CFA;11?576 CFA;11/01/2023;ST;;Lait;;;;;;;
Princi B fort cp B/90;1;6?086 CFA;8?596 CFA;16/12/2022;ST;;Comprimes Gelules;;;;;;;
Roge Cavailles gel int extr dx fl/200ml ;1;5?161 CFA;9?366 CFA;04/03/2022;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Aprovel 300 mg cp;1;12?597 CFA;17?751 CFA;16/01/2023;LISTE I;;Comprimes Gelules;;;;;;;
Erector 50 cp;1;1?023 CFA;1?478 CFA;05/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Griplyse 125mg/1mg/12.5mg sp f/100ml;1;1?551 CFA;2?425 CFA;09/05/2023;ST;;Sirops;;;;;;;
Amcard 5 mg cp B/28;1;3?871 CFA;5?482 CFA;01/09/2023;LISTE I;Antihypertenseur Antiangoreux (IC);Comprimes Gelules;;;;;;;
Venosmil 200mg gelu B/20 sans sucre ;1;2?634 CFA;3?703 CFA;19/09/2023;SANS TABLEAU;Vasculoprotecteur Veinotonique;Comprimes Gelules;;;;;;;
Erector 100 cp;1;1?734 CFA;2?478 CFA;05/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Rosuvastatine pms 10mg cp b/30;1;4?589 CFA;6?482 CFA;03/06/2021;LISTE II;;Comprimes Gelules;;;;;;;
Ceftriaze 500mg poudre  IM/IV B/1 amp/5ml;1;1?771 CFA;2?537 CFA;24/02/2022;I;;Injectables;;;;;;;
Atorfit 40mg b/30;1;5?623 CFA;8?688 CFA;30/07/2023;I;;Comprimes Gelules;;;;;;;
Venosmil gel T/60 gr;1;1?737 CFA;2?442 CFA;26/07/2023;SANS TABLEAU;Vasculoprotecteur Veinotonique;Gel cutane;;;;;;;
Special kid sommeil sp f/125ml;1;0 CFA;0 CFA;04/09/2023;SANS TABLEAU;;Sirops;;;;;;;
